state,year,factor
MD,2027,680.2368648477054
MD,2028,580.5878410553986
MD,2029,580.5878410553986
MD,2030,565.706626219158
MD,2031,568.1758055697638
MD,2032,570.6449849203697
MD,2033,573.1141642709755
MD,2034,575.5833436215813
MD,2035,578.0525229721871
MD,2036,582.5940492777657
MD,2037,587.1355755833443
MD,2038,591.677101888923
MD,2039,596.2186281945015
MD,2040,600.76015450008
MD,2041,601.7301892449609
MD,2042,602.7002239898418
MD,2043,603.6702587347227
MD,2044,604.6402934796035
MD,2045,605.6103282244844
MD,2046,604.5962009911999
MD,2047,603.5820737579153
MD,2048,602.5679465246308
MD,2049,601.5538192913461
MD,2050,600.5396920580616
MD,2051,600.5396920580616
MD,2052,600.5396920580616
MD,2053,600.5396920580616
MD,2054,600.5396920580616
MD,2055,600.5396920580616
MD,2056,600.5396920580616
MD,2057,600.5396920580616
MD,2058,600.5396920580616
MD,2059,600.5396920580616
MD,2060,600.5396920580616
MD,2061,600.5396920580616
MD,2062,600.5396920580616
MD,2063,600.5396920580616
MD,2064,600.5396920580616
MD,2065,600.5396920580616
MD,2066,600.5396920580616
MD,2067,600.5396920580616
MD,2068,600.5396920580616
MD,2069,600.5396920580616
ME,2020,622.8063987019179
ME,2021,622.8063987019179
ME,2022,622.8063987019179
ME,2023,622.8063987019179
ME,2024,622.8063987019179
ME,2025,570.7772623855806
ME,2026,463.41205312263054
ME,2027,463.41205312263054
ME,2028,384.2660364380329
ME,2029,384.2660364380329
ME,2030,360.45609270004803
ME,2031,357.1491560697724
ME,2032,353.8422194394967
ME,2033,350.53528280922103
ME,2034,347.22834617894534
ME,2035,343.9214095486697
ME,2036,347.0960687137343
ME,2037,350.270727878799
ME,2038,353.4453870438636
ME,2039,356.6200462089283
ME,2040,359.7947053739929
ME,2041,362.04342228258037
ME,2042,364.29213919116785
ME,2043,366.5408560997553
ME,2044,368.78957300834276
ME,2045,371.03828991693024
ME,2046,372.7138044762699
ME,2047,374.3893190356095
ME,2048,376.0648335949492
ME,2049,377.7403481542889
ME,2050,379.41586271362854
ME,2051,379.41586271362854
ME,2052,379.41586271362854
ME,2053,379.41586271362854
ME,2054,379.41586271362854
ME,2055,379.41586271362854
ME,2056,379.41586271362854
ME,2057,379.41586271362854
ME,2058,379.41586271362854
ME,2059,379.41586271362854
ME,2060,379.41586271362854
ME,2061,379.41586271362854
ME,2062,379.41586271362854
ME,2063,379.41586271362854
ME,2064,379.41586271362854
ME,2065,379.41586271362854
ME,2066,379.41586271362854
ME,2067,379.41586271362854
ME,2068,379.41586271362854
ME,2069,379.41586271362854
MI,2020,957.2479232437973
MI,2021,957.2479232437973
MI,2022,957.2479232437973
MI,2023,957.2479232437973
MI,2024,957.2479232437973
MI,2025,942.9178645126027
MI,2026,921.6432388578291
MI,2027,921.6432388578291
MI,2028,913.8168221661768
MI,2029,913.8168221661768
MI,2030,912.9349723981034
MI,2031,919.7252156122694
MI,2032,926.5154588264354
MI,2033,933.3057020406015
MI,2034,940.0959452547676
MI,2035,946.8861884689336
MI,2036,948.1648706326401
MI,2037,949.4435527963467
MI,2038,950.7222349600534
MI,2039,952.0009171237599
MI,2040,953.2795992874665
MI,2041,952.0891021005672
MI,2042,950.898604913668
MI,2043,949.7081077267687
MI,2044,948.5176105398696
MI,2045,947.3271133529703
MI,2046,940.8455175576299
MI,2047,934.3639217622897
MI,2048,927.8823259669493
MI,2049,921.4007301716091
MI,2050,914.9191343762687
MI,2051,914.9191343762687
MI,2052,914.9191343762687
MI,2053,914.9191343762687
MI,2054,914.9191343762687
MI,2055,914.9191343762687
MI,2056,914.9191343762687
MI,2057,914.9191343762687
MI,2058,914.9191343762687
MI,2059,914.9191343762687
MI,2060,914.9191343762687
MI,2061,914.9191343762687
MI,2062,914.9191343762687
MI,2063,914.9191343762687
MI,2064,914.9191343762687
MI,2065,914.9191343762687
MI,2066,914.9191343762687
MI,2067,914.9191343762687
MI,2068,914.9191343762687
MI,2069,914.9191343762687
MN,2020,629.1998095204508
MN,2021,629.1998095204508
MN,2022,629.1998095204508
MN,2023,629.1998095204508
MN,2024,629.1998095204508
MN,2025,495.0484135522678
MN,2026,282.6328506675606
